cell,maximum,mean,metric,minimum,n_seeds,optimizer,standard_deviation,step
C16-d16-L2-H1-m4-ffn32,0.01408060546964407,0.0015936631340688716,risk,0.00017689306696411222,12,adamw,0.003941207551784413,100
C16-d16-L2-H1-m4-ffn32,1.0895755290985107,1.0046940793593724,target_key_effect,0.9287742376327515,12,adamw,0.043123636545222395,100
C16-d16-L2-H1-m4-ffn32,1.003915548324585,0.9979185114304224,value_flip_effect,0.9930121898651123,12,adamw,0.0031814169579572446,100
C16-d16-L2-H1-m4-ffn32,0.003878128482028842,0.0006145972741554336,walsh_bias_energy,0.00012946545029990375,12,adamw,0.0010525589226666604,100
C16-d16-L2-H1-m4-ffn32,0.009206576272845268,0.0009141622382837037,walsh_distractor_direct_energy,1.5112767869140953e-05,12,adamw,0.002614121058236156,100
C16-d16-L2-H1-m4-ffn32,0.0008036150247789919,0.0001541480924061034,walsh_interaction_energy,2.178021168219857e-05,12,adamw,0.00021484013934006373,100
C16-d16-L2-H1-m4-ffn32,1.0040979385375977,0.9979021549224854,walsh_target_coefficient,0.993511438369751,12,adamw,0.0031934863765657323,100
C16-d16-L2-H1-m4-ffn32,0.009760787710547447,0.0011250425086473115,walsh_target_error_energy,0.00011159211862832308,12,adamw,0.0027285959579445994,100
C16-d16-L2-H1-m4-ffn32,0.023649107664823532,0.002807950098940637,walsh_total_error_energy,0.00036371033638715744,12,adamw,0.006588637013999968,100
C16-d16-L2-H1-m4-ffn32,0.5301727652549744,0.49387314170598984,attention_key_selectivity,0.4349636435508728,12,adamw,0.028742852775113372,400
C16-d16-L2-H1-m4-ffn32,0.0800054483115673,0.058251679666379154,attention_mean_distractor_mass,0.001372265222016722,12,adamw,0.02505874337061862,400
C16-d16-L2-H1-m4-ffn32,0.5069533782079816,0.27312014539105195,attention_self_mass,0.19000084698200226,12,adamw,0.10474237901070858,400
C16-d16-L2-H1-m4-ffn32,0.5942893028259277,0.5521248197813596,attention_target_mass,0.4889298461494036,12,adamw,0.0384517028090552,400
C16-d16-L2-H1-m4-ffn32,7.257359266281128,3.958482245604197,attention_target_over_distractor_log_margin,2.9991832971572876,12,adamw,1.1419902791674486,400
C16-d16-L2-H1-m4-ffn32,1.0,1.0,donor_accuracy,1.0,12,adamw,0.0,400
C16-d16-L2-H1-m4-ffn32,0.00011572905350476503,5.241400882975237e-05,donor_risk,2.237324952147901e-05,12,adamw,3.061289181268322e-05,400
C16-d16-L2-H1-m4-ffn32,0.8065136671066284,0.7469780892133713,embedding_coherence,0.6618444919586182,12,adamw,0.04737715233243236,400
C16-d16-L2-H1-m4-ffn32,7.056591033935547,6.1054050127665205,embedding_effective_rank,4.738129138946533,12,adamw,0.6828348945986161,400
C16-d16-L2-H1-m4-ffn32,0.000594884913880378,0.00011115419272300642,ffn_branch_signed,-0.00016545943799428642,12,adamw,0.0002186517887713951,400
C16-d16-L2-H1-m4-ffn32,0.4907553493976593,0.38720602728426456,ffn_cancellation_fraction,0.29457083344459534,12,adamw,0.060823402652002125,400
C16-d16-L2-H1-m4-ffn32,0.7578125,0.669189453125,ffn_opposition_rate,0.5791015625,12,adamw,0.053508180380182055,400
C16-d16-L2-H1-m4-ffn32,0.0003239308134652674,-8.736858990232577e-05,ffn_skip_signed,-0.0005205586785450578,12,adamw,0.00024061928709610136,400
C16-d16-L2-H1-m4-ffn32,0.000373207192751579,2.378559959955358e-05,ffn_total_signed,-0.0002528991171857342,12,adamw,0.00021648019141511687,400
C16-d16-L2-H1-m4-ffn32,1.0,1.0,function_accuracy,1.0,12,adamw,0.0,400
C16-d16-L2-H1-m4-ffn32,0.005137923639267683,0.0034063966886606067,natural_swap_mae,0.0016039855545386672,12,adamw,0.001251617900763756,400
C16-d16-L2-H1-m4-ffn32,7.860294135753065e-05,3.637824367312229e-05,natural_swap_mse,6.1528880905825645e-06,12,adamw,2.5137425903601734e-05,400
C16-d16-L2-H1-m4-ffn32,1.3473488092422485,1.0071361859639485,ov_distractor_gain,0.8224346041679382,12,adamw,0.1400033343622224,400
C16-d16-L2-H1-m4-ffn32,1.2737654447555542,0.8537848374495903,ov_log_target_over_distractor_gain,0.46299856901168823,12,adamw,0.24883529695076823,400
C16-d16-L2-H1-m4-ffn32,3.2921512126922607,2.5897318348288536,ov_target_gain,1.7874064147472382,12,adamw,0.4177773356186254,400
C16-d16-L2-H1-m4-ffn32,0.2673894912004471,0.23511934032042822,qk_cancellation_fraction,0.2092800885438919,12,adamw,0.017074760420052758,400
C16-d16-L2-H1-m4-ffn32,3.7353889865698875e-05,1.4777040797516369e-05,qk_content_energy,2.53067463518164e-06,12,adamw,1.0617328798555313e-05,400
C16-d16-L2-H1-m4-ffn32,0.00015197354514384642,-2.8134125197235942e-05,qk_content_signed,-0.0001788829663382785,12,adamw,0.00011299723519333887,400
C16-d16-L2-H1-m4-ffn32,0.6201171875,0.54248046875,qk_opposition_rate,0.509765625,12,adamw,0.032656821320170934,400
C16-d16-L2-H1-m4-ffn32,0.0002651741961017251,-7.2171986478982335e-06,qk_route_signed,-0.0005823657047585584,12,adamw,0.00020436789334531813,400
C16-d16-L2-H1-m4-ffn32,-0.5528999418020248,-1.1119992057792842,qk_suppression_log_ratio,-1.4259456247091293,12,adamw,0.27262664885922205,400
C16-d16-L2-H1-m4-ffn32,0.00041714775579748675,-3.5351322821952635e-05,qk_total_signed,-0.0005193513698031893,12,adamw,0.0002262019606205142,400
C16-d16-L2-H1-m4-ffn32,0.00010898877371801063,5.155755570740439e-05,risk,2.2961892682360485e-05,12,adamw,2.864756519957515e-05,400
C16-d16-L2-H1-m4-ffn32,1.07730233669281,1.0073001980781555,target_key_effect,0.9474337100982666,12,adamw,0.0385756286668436,400
C16-d16-L2-H1-m4-ffn32,1.0009979009628296,0.9998697837193807,value_flip_effect,0.997620701789856,12,adamw,0.001000109212343369,400
C16-d16-L2-H1-m4-ffn32,6.0531612689374015e-05,3.0266925402126315e-05,walsh_bias_energy,1.5225982679112349e-05,12,adamw,1.4919769689420974e-05,400
C16-d16-L2-H1-m4-ffn32,5.6255721574416384e-05,2.246893257051852e-05,walsh_distractor_direct_energy,4.807422556041274e-06,12,adamw,1.5358834871267647e-05,400
C16-d16-L2-H1-m4-ffn32,4.0834514948073775e-05,1.661630320389425e-05,walsh_interaction_energy,5.147183401277289e-06,12,adamw,1.0530927271409822e-05,400
C16-d16-L2-H1-m4-ffn32,1.000864863395691,0.9998222043116888,walsh_target_coefficient,0.9976550340652466,12,adamw,0.0009407021791991597,400
C16-d16-L2-H1-m4-ffn32,7.189046300482005e-05,3.500935334462459e-05,walsh_target_error_energy,1.4319825822894927e-05,12,adamw,2.0489371929205543e-05,400
C16-d16-L2-H1-m4-ffn32,0.0002038974198512733,0.00010436151599909256,walsh_total_error_energy,4.6464956540148705e-05,12,adamw,5.6081908431190536e-05,400
C16-d16-L2-H1-m4-ffnnone,0.015331161208450794,-0.006321766316735496,attention_key_selectivity,-0.03289726749062538,12,adamw,0.01146834242513484,0
