cell,desired_direction,eligibility_rule,metric,n_common_eligible_seeds,n_resamples,optimizer_delta_difference,optimizer_delta_difference_ci_high,optimizer_delta_difference_ci_low,primary_ci_excludes_zero,primary_ci_high,primary_ci_low,primary_estimate,primary_function_success_count,primary_optimizer,qualitative_direction_agreement,replication_ci_direction_pass,replication_ci_excludes_zero,replication_ci_high,replication_ci_low,replication_estimate,replication_function_success_count,replication_optimizer,replication_supports_desired_direction,rng_seed,same_direction,two_optimizer_ci_direction_pass,two_optimizer_support_desired_direction
C16-d16-L2-H1-m4-ffn32,increase,function_and_donor_gate,ffn_opposition_rate,12,20000,-0.052571614583333336,-0.016436767578125178,-0.08951822916666667,True,0.207763671875,0.1311014811197917,0.16560872395833334,12,adamw,True,True,True,0.158447265625,0.06429036458333333,0.113037109375,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,descriptive,function_and_donor_gate,ffn_skip_signed,12,20000,0.0004010399644964006,0.0008279370146510696,7.915797590385411e-05,False,0.0023012805566054286,-0.010889636238202154,-0.0040768407845159045,12,adamw,True,False,False,0.0026070976862835457,-0.010433437540723388,-0.0036758008200195036,12,sgd,False,20260815,True,False,False
C16-d16-L2-H1-m4-ffn32,descriptive,function_and_donor_gate,ffn_total_signed,12,20000,0.00035587573135368683,0.0009999784115583073,-7.410982449679671e-05,False,0.006320753767946961,-0.01776400732975768,-0.005283996492532121,12,adamw,True,False,False,0.006441404052323644,-0.017360065736177897,-0.004928120761178434,12,sgd,False,20260815,True,False,False
C16-d16-L2-H1-m4-ffn32,increase,all_scheduled,function_accuracy,12,20000,0.0,0.0,0.0,True,0.4973958333333333,0.4583333333333333,0.4783528645833333,12,adamw,True,True,True,0.4973958333333333,0.4583333333333333,0.4783528645833333,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,increase,function_gate,key_selectivity,12,20000,-0.06787457317113876,-0.043815673515200625,-0.0929060727978746,True,0.5167173838022184,0.48431109978870757,0.501179546903586,12,adamw,True,True,True,0.45444798588141566,0.4117218236421953,0.43330497373244725,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,decrease,all_scheduled,natural_swap_mae,12,20000,0.0015809093893039972,0.002544035786074042,0.0007009498726498957,True,-0.12627044500962561,-0.17052926911176958,-0.1485023393664354,12,adamw,True,True,True,-0.12437860194477254,-0.1689694816149616,-0.1469214299771314,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,decrease,all_scheduled,natural_swap_mse,12,20000,4.883359110863239e-05,9.990857318863765e-05,1.4691250701541025e-05,True,-0.0394332669655815,-0.06873578307190845,-0.05393830918857626,12,adamw,True,True,True,-0.03938913268683943,-0.06867835628978962,-0.05388947559746763,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,decrease,function_and_donor_gate,ov_distractor_gain,12,20000,-0.03025939812262853,0.049877376543978696,-0.11413197536021467,False,0.13980921283364295,-0.011213674706717304,0.05351780354976654,12,adamw,True,False,False,0.10379538014531126,-0.042416468821465964,0.023258405427138012,12,sgd,False,20260815,True,False,False
C16-d16-L2-H1-m4-ffn32,increase,function_and_donor_gate,ov_log_target_over_distractor_gain,12,20000,-0.08866374536106984,0.056235603146099704,-0.22146994225137556,True,1.0699559769282738,0.7384053250619521,0.9096756824292243,12,adamw,True,True,True,0.9289864284529659,0.7145740765690183,0.8210119370681545,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,increase,function_and_donor_gate,ov_target_gain,12,20000,-0.159214049577713,0.13100987318903193,-0.42241194825619455,True,1.9054772629092134,1.44987247766306,1.6847671245535214,12,adamw,True,True,True,1.7296172983944413,1.3583219931771358,1.5255530749758084,12,sgd,True,20260815,True,True,True
