cell,confidence_interval_excludes_zero,confidence_interval_high,confidence_interval_low,confidence_level,confirmatory_sample_size_pass,desired_direction,direction,eligibility_rule,estimate,final_mean,initial_mean,metric,n_pairs,n_resamples,optimizer,population,rng_seed,standard_deviation,standardized_paired_effect,supports_desired_direction
C16-d16-L2-H1-m4-ffn32,True,0.02792901249291994,0.0033926478742311405,0.95,True,increase,positive,all_scheduled,0.015830683211485546,0.23511934032042822,0.21928865710894266,qk_cancellation_fraction,12,20000,adamw,all_scheduled,20260815,0.02256979973492933,0.7014099990876642,True
C16-d16-L2-H1-m4-ffn32,True,-0.014963940235703861,-0.028541307124830696,0.95,True,descriptive,negative,all_scheduled,-0.021516567209939552,1.4777040797516369e-05,0.021531344250737067,qk_content_energy,12,20000,adamw,all_scheduled,20260815,0.012540545054703306,-1.7157601297297527,False
C16-d16-L2-H1-m4-ffn32,False,0.0029762570213449557,-0.011560499294929132,0.95,True,descriptive,negative,all_scheduled,-0.004194524527633803,-2.8134125197235942e-05,0.0041663904024365666,qk_content_signed,12,20000,adamw,all_scheduled,20260815,0.013571390582041222,-0.30907109350933737,False
C16-d16-L2-H1-m4-ffn32,True,0.072021484375,0.038248697916666664,0.95,True,increase,positive,all_scheduled,0.054850260416666664,0.54248046875,0.4876302083333333,qk_opposition_rate,12,20000,adamw,all_scheduled,20260815,0.03161089035509416,1.7351697405709876,True
C16-d16-L2-H1-m4-ffn32,False,0.0020727894215080206,-0.00408979880525256,0.95,True,descriptive,negative,all_scheduled,-0.0006694705120935396,-7.2171986478982335e-06,0.0006622533134456413,qk_route_signed,12,20000,adamw,all_scheduled,20260815,0.005780385987045964,-0.1158176138399486,False
C16-d16-L2-H1-m4-ffn32,True,-0.6040748599062985,-0.8998399881723647,0.95,True,increase,negative,all_scheduled,-0.7481660163030028,-1.1119992057792842,-0.3638331894762814,qk_suppression_log_ratio,12,20000,adamw,all_scheduled,20260815,0.27289517380217004,-2.741587569611513,False
C16-d16-L2-H1-m4-ffn32,False,0.004558157041753926,-0.015187262544331283,0.95,True,descriptive,negative,all_scheduled,-0.004863995395226084,-3.5351322821952635e-05,0.004828644072404131,qk_total_signed,12,20000,adamw,all_scheduled,20260815,0.018322772389586392,-0.26546175937820954,False
C16-d16-L2-H1-m4-ffn32,True,-0.6889221972985221,-1.2704528263424815,0.95,True,decrease,negative,all_scheduled,-0.9512739086797714,5.155755570740439e-05,0.9513254662354788,risk,12,20000,adamw,all_scheduled,20260815,0.5427496748641449,-1.752693650010723,True
C16-d16-L2-H1-m4-ffn32,True,1.0392910019601307,0.935234973076149,0.95,True,increase,positive,all_scheduled,0.9913561930394886,1.0073001980781555,0.015944005038666848,target_key_effect,12,20000,adamw,all_scheduled,20260815,0.09655473021847144,10.267298047401482,True
C16-d16-L2-H1-m4-ffn32,True,1.021551100880606,0.9319244078205278,0.95,True,increase,positive,all_scheduled,0.9800208912153417,0.9998697837193807,0.01984889250403891,value_flip_effect,12,20000,adamw,all_scheduled,20260815,0.08259582589534849,11.86525929841853,True
C16-d16-L2-H1-m4-ffn32,True,-0.39197911779534983,-1.4996073062876933,0.95,True,decrease,negative,all_scheduled,-0.8950774115227583,3.0266925402126315e-05,0.8951076784481605,walsh_bias_energy,12,20000,adamw,all_scheduled,20260815,1.0372050502222887,-0.8629705489101983,True
C16-d16-L2-H1-m4-ffn32,True,-0.025282759531812846,-0.08122925564754171,0.95,True,decrease,negative,all_scheduled,-0.0477631879045551,2.246893257051852e-05,0.04778565683712562,walsh_distractor_direct_energy,12,20000,adamw,all_scheduled,20260815,0.05372817266514537,-0.8889784546039498,True
