revision,revision_index,template_id,template_index,slot,target_effect_when_queried,distractor_effect_when_not_queried,slot_contrast,target_effect_q10,target_effect_q90,distractor_effect_q10,distractor_effect_q90,n_target_episodes,n_distractor_episodes,independent_pretraining_trajectories
step64000,6,compact_cards,0,0,0.15562033984038876,0.006500606301040465,0.1491197335393483,0.012457448198483856,0.2963120138468618,-0.3085614797570871,0.3631911216992909,80,176,1
step64000,6,compact_cards,0,1,0.06884982781335296,-0.008537230840146022,0.07738705865349899,0.008883441313882806,0.15466223636589405,-0.13121411157766372,0.10505724911144754,48,208,1
step64000,6,compact_cards,0,2,0.06406348214217215,-0.0046299686634207705,0.06869345080559293,0.008991897849885548,0.11920804583319158,-0.10406572201012404,0.1069491332520065,64,192,1
step64000,6,compact_cards,0,3,0.06411466311392255,-0.008860356357059392,0.07297501947098195,0.02260597039444586,0.11519782006630205,-0.11862200972591726,0.09830580793866739,64,192,1
step64000,6,line_records,1,0,0.060846757807814365,-0.006082352600564459,0.06692911040837883,-0.020839963017932783,0.1510157563636773,-0.0922328999247227,0.08452519390374225,80,176,1
step64000,6,line_records,1,1,0.0631001593303264,-0.012426365172285112,0.0755265245026115,0.008337294675313123,0.1420082518326694,-0.11865322789629558,0.10287651480217373,64,192,1
step64000,6,line_records,1,2,0.08105374806820533,-0.012393421537732076,0.09344716960593741,0.006284391620887259,0.14276184118979862,-0.13634133522896497,0.10884019404493334,64,192,1
step64000,6,line_records,1,3,0.07846522877638963,-0.011300160024591529,0.08976538880098116,-0.01841258621892974,0.1591522302673434,-0.13984824432655552,0.11851126377423864,48,208,1
step64000,6,prose_facts,2,0,0.15651321162996173,-0.017098215674160065,0.1736114273041218,0.042385564400232,0.27590350426292076,-0.23439203781309673,0.1958399499511089,80,176,1
step64000,6,prose_facts,2,1,0.09709835670957068,-0.025059097391278592,0.12215745410084927,0.022459089811917653,0.19269081700598822,-0.23524500938856913,0.1554132934529756,80,176,1
step64000,6,prose_facts,2,2,0.08774310145570016,-0.020699654583608378,0.10844275603930854,-0.08589947120045158,0.24847972773642624,-0.16488003305614388,0.12030795079317057,32,224,1
step64000,6,prose_facts,2,3,0.10907156441109223,-0.02856786221802059,0.13763942662911283,-0.043744123525338456,0.2656541645371728,-0.32237904641534204,0.2664060288100206,64,192,1
