revision,revision_index,template_id,template_index,layer,closure_max_abs,closure_relative_sensitivity_max,component_scale_max_abs,n_episode_rows,independent_pretraining_trajectories,delta_h_norm_mean,delta_attention_norm_mean,delta_ffn_norm_mean,delta_post_norm_mean,delta_skip_attention_norm_mean
step1000,3,bracket_dictionary,3,0,1.3877787807814457e-16,6.5114579240154904e-15,0.03512488681013615,256,1,0.0,0.17422310554791803,0.0,0.17422310554791803,0.17422310554791803
step1000,3,bracket_dictionary,3,1,2.498001805406602e-16,4.323456859680222e-15,0.12527914168328302,256,1,0.17422310554791803,0.24727297776553353,0.1406403602685674,0.3162167816928429,0.3007164406476767
step1000,3,bracket_dictionary,3,2,3.3306690738754696e-16,3.8328321063199394e-15,0.2362416764079268,256,1,0.3162167816928429,0.4221445141046187,0.21306609970057572,0.5479230142723167,0.5289320084280191
step1000,3,bracket_dictionary,3,3,4.163336342344337e-16,1.719004745556801e-15,0.6170456641212223,256,1,0.5479230142723167,1.3680485160120162,0.30413262548968156,1.539715329833371,1.5228436249688935
step1000,3,bracket_dictionary,3,4,5.828670879282072e-16,1.5577314233982758e-15,1.1756465100597668,256,1,1.539715329833371,1.2256506408007413,1.063318613894047,2.488825462174537,2.0608238329274395
step1000,3,bracket_dictionary,3,5,6.106226635438361e-16,1.5692311877994323e-15,1.5964314721333541,256,1,2.488825462174537,0.7031062571730087,1.5801783516782173,3.3973966884029916,2.659314241366225
step4000,4,compact_cards,0,0,4.440892098500626e-16,5.621414243597822e-14,0.03451169076089522,256,1,0.0,0.1173016250702399,0.0,0.11730162507023992,0.1173016250702399
step4000,4,compact_cards,0,1,1.1102230246251565e-15,3.202002999468109e-14,0.10257001416918266,256,1,0.11730162507023992,0.20715097712039607,0.10442503175929163,0.23639166289243163,0.23844995221966242
step4000,4,compact_cards,0,2,1.1796119636642288e-15,1.4959003676120814e-14,0.15701949253149572,256,1,0.23639166289243163,0.25941793077741004,0.18113760494218653,0.3529118447119246,0.34911157981119256
step4000,4,compact_cards,0,3,1.8318679906315083e-15,1.0962698994358701e-14,0.32808395267984536,256,1,0.3529118447119246,0.6701700170236137,0.23464320284833023,0.7498950293101232,0.7715411090451241
