alpha_training,arm_name,beta_random_orthogonal,fixed_probe_risk,log10_risk_over_center,seed,step
-1.0,hard-factorized-constant-6400,1.0,0.6702795410188008,1.6090956906297655,100,800
-0.8333333333333334,hard-factorized-constant-6400,-1.0,0.706181986791141,1.6317563624640201,100,800
-0.8333333333333334,hard-factorized-constant-6400,-0.8333333333333334,0.6706546525525393,1.6093386688075633,100,800
-0.8333333333333334,hard-factorized-constant-6400,-0.6666666666666666,0.6207845073428042,1.5757805969104386,100,800
-0.8333333333333334,hard-factorized-constant-6400,-0.5,0.5737476689880221,1.5415606611342167,100,800
-0.8333333333333334,hard-factorized-constant-6400,-0.3333333333333333,0.5446423713411929,1.518951151994822,100,800
-0.8333333333333334,hard-factorized-constant-6400,-0.16666666666666666,0.5136022210834921,1.4934666202097089,100,800
-0.8333333333333334,hard-factorized-constant-6400,0.0,0.4886272592847668,1.4718174185384747,100,800
-0.8333333333333334,hard-factorized-constant-6400,0.16666666666666666,0.46247799105770976,1.4479307968835726,100,800
-0.8333333333333334,hard-factorized-constant-6400,0.3333333333333333,0.45427685781569344,1.4401603401835075,100,800
-0.8333333333333334,hard-factorized-constant-6400,0.5,0.4742223688848686,1.4588217626566131,100,800
-0.8333333333333334,hard-factorized-constant-6400,0.6666666666666666,0.5102762290785978,1.4906450644768832,100,800
-0.8333333333333334,hard-factorized-constant-6400,0.8333333333333334,0.5452975354997485,1.5194732619043412,100,800
-0.8333333333333334,hard-factorized-constant-6400,1.0,0.5760685428303342,1.543313887539304,100,800
-0.6666666666666666,hard-factorized-constant-6400,-1.0,0.6239514902682459,1.5779905533659893,100,800
-0.6666666666666666,hard-factorized-constant-6400,-0.8333333333333334,0.5713623673583343,1.5397513593188967,100,800
-0.6666666666666666,hard-factorized-constant-6400,-0.6666666666666666,0.5101950542764935,1.4905759713641755,100,800
-0.6666666666666666,hard-factorized-constant-6400,-0.5,0.4512531516320721,1.4372599751433477,100,800
-0.6666666666666666,hard-factorized-constant-6400,-0.3333333333333333,0.39941382921146795,1.3842628247354034,100,800
-0.6666666666666666,hard-factorized-constant-6400,-0.16666666666666666,0.3478860066035376,1.324276687029888,100,800
-0.6666666666666666,hard-factorized-constant-6400,0.0,0.30973830066000324,1.2738346383493913,100,800
-0.6666666666666666,hard-factorized-constant-6400,0.16666666666666666,0.2909574020077366,1.246669137227683,100,800
-0.6666666666666666,hard-factorized-constant-6400,0.3333333333333333,0.30730102533911846,1.2704037363529959,100,800
-0.6666666666666666,hard-factorized-constant-6400,0.5,0.352216375315868,1.3296492704379812,100,800
-0.6666666666666666,hard-factorized-constant-6400,0.6666666666666666,0.40578999768704005,1.3911410649389233,100,800
-0.6666666666666666,hard-factorized-constant-6400,0.8333333333333334,0.4544876651894895,1.44036182798042,100,800
-0.6666666666666666,hard-factorized-constant-6400,1.0,0.49898975162617787,1.4809313530977972,100,800
-0.5,hard-factorized-constant-6400,-1.0,0.5481609235070869,1.5217477999874196,100,800
