arm_name,cell_id,center_fixed_probe_risk,coordinate_count,diagnostic_seed,inference_status,max_per_map_axis_absolute_cosine,max_per_map_axis_relative_norm_gap,maximum_fixed_probe_risk,minimum_fixed_probe_risk,numeric_path,plane_coordinate_system,proxy_prediction_max_abs_gap,rank_constraint_scope,reference_step,seed,step,training_axis_frobenius_norm,training_orientation
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,1.6443160402021463e-05,13,7802080170148690752,descriptive_grid_not_independent_N,2.950889383389952e-17,2.505669094238009e-16,0.03398420418310511,1.6443160402021463e-05,numeric/hard-dense-direct-constant-6400/seed-101/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,800,101,3200,1.1134613490899048,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,2.690421894694283e-06,13,6664206790317342284,descriptive_grid_not_independent_N,3.67969328926043e-17,2.0925365734952052e-16,0.0019410204624971245,2.690421894694283e-06,numeric/hard-dense-direct-constant-6400/seed-101/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,3200,101,6400,0.35650871012262236,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,1.3871766859396142,13,8729159503789882555,descriptive_grid_not_independent_N,3.417624441737239e-17,2.2006308760027712e-16,3.9519542598797193,0.3701306496353194,numeric/hard-dense-direct-constant-6400/seed-102/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,800,102,0,4.457512738414828,-1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,0.0004853757235787218,13,8600790965122125725,descriptive_grid_not_independent_N,4.0893609985917465e-17,2.2243597969253866e-16,1.221507911585177,0.0004853757235787218,numeric/hard-dense-direct-constant-6400/seed-102/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,0,102,800,4.457512738414828,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,3.488938808531507e-05,13,4222679339501673533,descriptive_grid_not_independent_N,5.2399853521566596e-17,2.566758290652527e-16,0.039864220311258226,3.488938808531507e-05,numeric/hard-dense-direct-constant-6400/seed-102/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,800,102,3200,1.49998939723473,1.0
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,6.2950029786530585e-06,13,8813629519796867713,descriptive_grid_not_independent_N,3.7327112142953737e-17,1.847070496559406e-16,0.00182313369527486,4.789351445626035e-06,numeric/hard-dense-direct-constant-6400/seed-102/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,dense_function_class,3200,102,6400,0.570211824231873,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,1.0284196078528471,13,508920407622685089,descriptive_grid_not_independent_N,1.9411413783944924e-17,1.9937611754621047e-16,2.1633492099211225,0.6321820419613075,numeric/h1-factorized-constant-6400/seed-100/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,100,0,7.877841046049003,-1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,0.0003715075238006026,13,3767334979921721075,descriptive_grid_not_independent_N,3.35665971212361e-17,2.0889842805844057e-16,0.7075428237000266,0.0003715075238006026,numeric/h1-factorized-constant-6400/seed-100/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,100,800,7.877841046049003,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,2.4225459092341494e-05,13,6287065531938935268,descriptive_grid_not_independent_N,8.153141901548034e-18,1.5012701835839392e-16,0.02517190221641465,2.4225459092341494e-05,numeric/h1-factorized-constant-6400/seed-100/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,100,3200,1.994632511080635,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,5.984954232418986e-06,13,4038222385367344612,descriptive_grid_not_independent_N,2.36984740359688e-17,1.470846858637225e-16,0.05659437229735831,5.984954232418986e-06,numeric/h1-factorized-constant-6400/seed-100/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,100,6400,3.530414351253587,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,0.6644014036376304,13,58853108776090585,descriptive_grid_not_independent_N,9.825740662354056e-18,1.3211366934479478e-16,1.8353569014187676,0.41184111021368264,numeric/h1-factorized-constant-6400/seed-101/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,101,0,7.410363269334627,-1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,0.0002837149335474014,13,718846187909655534,descriptive_grid_not_independent_N,4.230283159942068e-17,1.5826657284218082e-16,0.8443062741922326,0.0002837149335474014,numeric/h1-factorized-constant-6400/seed-101/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,101,800,7.410363269334627,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,2.0042223371282827e-05,13,2240057036944253344,descriptive_grid_not_independent_N,4.8423707575403495e-17,0.0,0.02232226917074302,2.0042223371282827e-05,numeric/h1-factorized-constant-6400/seed-101/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,101,3200,2.4034760395394246,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,3.377759247862906e-06,13,3223302540230381902,descriptive_grid_not_independent_N,2.3734074177142862e-17,1.3185593233989602e-16,0.006816158898120457,3.377759247862906e-06,numeric/h1-factorized-constant-6400/seed-101/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,101,6400,1.3427410129923387,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,0.809013389022287,13,3813527670822566757,descriptive_grid_not_independent_N,3.5683448433335846e-17,0.0,1.6193009756573757,0.4149569820509059,numeric/h1-factorized-constant-6400/seed-102/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,102,0,6.671318498280964,-1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,0.00018687811284363732,13,4163720471921638644,descriptive_grid_not_independent_N,4.2615447981256117e-17,0.0,1.29213073095929,0.00018687811284363732,numeric/h1-factorized-constant-6400/seed-102/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,102,800,6.671318498280964,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,8.464180996197787e-06,13,9126926999189764157,descriptive_grid_not_independent_N,3.9035426949598144e-17,1.353260252377499e-16,0.006261465964156497,8.464180996197787e-06,numeric/h1-factorized-constant-6400/seed-102/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,102,3200,1.1031815532669753,1.0
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,1.8148484322549149e-06,13,1561579561073855454,descriptive_grid_not_independent_N,1.5759221567200142e-17,1.4868480855635427e-16,0.007834171880907806,1.8148484322549149e-06,numeric/h1-factorized-constant-6400/seed-102/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,102,6400,0.7268817821514464,1.0
